SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE PER BED,PRICE PER SQUARE FOOT
MLS Listing,,Multi-Family (5+ Unit),725-735 Adams St,Boston,MA,2122,24000000.0,99,148.5,Dorchester's Ashmont,76100,62891.0,1968.0,53,315.0,,Active,,,http://www.redfin.com/MA/Boston/735-Adams-St-02122/home/9097382,MLS PIN,72190599,N,Y,42.284369299999994,-71.0568057,2376000000.0,1826400000000.0
MLS Listing,,Multi-Family (5+ Unit),630 Washington St,Boston,MA,2111,25000000.0,56,56.0,Financial District,57968,8611.0,1850.0,60,431.0,,Active,,,http://www.redfin.com/MA/Boston/630-Washington-St-02111/home/110301022,MLS PIN,72186527,N,Y,42.3522331,-71.06238640000001,1400000000.0,1449200000000.0
MLS Listing,,Multi-Family (5+ Unit),124 Berkshire St,Cambridge,MA,2141,5500000.0,32,12.0,East Cambridge,9729,4142.0,1920.0,39,565.0,,Active,,,http://www.redfin.com/MA/Cambridge/124-Berkshire-St-02141/home/11554553,MLS PIN,72196973,N,Y,42.3716549,-71.0898942,176000000.0,53509500000.0
MLS Listing,,Multi-Family (5+ Unit),58-60 Burbank,Boston,MA,2115,1500000.0,99,148.5,The Fenway,1660,1660.0,1915.0,32,904.0,,Active,,,http://www.redfin.com/MA/Boston/58-60-Burbank-St-02115/home/139432064,MLS PIN,72200383,N,Y,42.344244,-71.088657,148500000.0,2490000000.0
MLS Listing,,Multi-Family (5+ Unit),278 Main St,Brockton,MA,2301,2700000.0,33,17.0,Brockton,16550,10062.0,,79,163.0,,Active,,,http://www.redfin.com/MA/Brockton/278-Main-St-02301/home/16321674,MLS PIN,72175020,N,Y,42.079756,-71.019787,89100000.0,44685000000.0
MLS Listing,,Multi-Family (5+ Unit),16-20 Albany St,Lynn,MA,1902,2400000.0,27,12.0,Lynn,20000,13140.0,1907.0,3,120.0,,Active,,,http://www.redfin.com/MA/Lynn/20-Albany-St-01902/home/11577886,MLS PIN,72215270,N,Y,42.4671879,-70.9581171,64800000.0,48000000000.0
MLS Listing,,Multi-Family (5+ Unit),3-5 High Street Pl,Brookline,MA,2445,3595000.0,12,6.0,Brookline,5638,5523.0,1910.0,24,638.0,,Active,,,http://www.redfin.com/MA/Brookline/5-High-Street-Pl-02445/home/11490521,MLS PIN,72204869,N,Y,42.326145000000004,-71.12093,43140000.0,20268610000.0
MLS Listing,,Multi-Family (2-4 Unit),138-140 Winchester St,Brookline,MA,2446,3848000.0,10,8.0,Coolidge Corner,5936,7623.0,2017.0,27,648.0,,Active,,,http://www.redfin.com/MA/Brookline/140-Winchester-St-02446/home/11452545,MLS PIN,72202863,N,Y,42.3441311,-71.12993320000001,38480000.0,22841728000.0
MLS Listing,,Multi-Family (5+ Unit),373 - 375 Salem St,Malden,MA,2148,1780000.0,19,6.0,Maplewood,8510,4513.0,1900.0,1,209.0,,Active,,,http://www.redfin.com/MA/Malden/375-Salem-St-02148/home/11411439,MLS PIN,72216257,N,Y,42.4309479,-71.054828,33820000.0,15147800000.0
MLS Listing,,Multi-Family (5+ Unit),583-587 montello,Brockton,MA,2301,1449000.0,18,12.0,Brockton,7800,11282.0,1920.0,79,186.0,,Active,,,http://www.redfin.com/MA/Brockton/587-Montello-St-02301/home/16321337,MLS PIN,72175062,N,Y,42.073614899999995,-71.0173571,26082000.0,11302200000.0
