SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),6 Proctor St,Salem,MA,01970,449000,4,2.0,Salem,1816,4666,1914,3,247,,Active,,,http://www.redfin.com/MA/Salem/6-Proctor-St-01970/home/8366717,MLS PIN,72215218,N,Y,42.5187445,-70.9098536
MLS Listing,,Multi-Family (2-4 Unit),42 James St,Attleboro,MA,02703,339000,9,3.0,Attleboro,3210,2701,1900,1,106,,Active,,,http://www.redfin.com/MA/Attleboro/42-James-St-02703/home/15972616,MLS PIN,72216491,N,Y,41.93811,-71.2793301
MLS Listing,,Multi-Family (2-4 Unit),15 Hathorn St,Somerville,MA,02145,899000,4,3.0,Somerville,2886,3010,1898,1,312,,Active,,,http://www.redfin.com/MA/Somerville/15-Hathorn-St-02145/home/8747679,MLS PIN,72216417,N,Y,42.3865563,-71.0822973
MLS Listing,,Multi-Family (2-4 Unit),21-21A Princess St,Wakefield,MA,01880,799900,4,3.5,Wakefield,3818,3536,1880,1,210,,Active,,,http://www.redfin.com/MA/Wakefield/21-Princess-St-01880/unit-21A/home/12428311,MLS PIN,72216414,N,Y,42.5038548,-71.0698318
MLS Listing,,Multi-Family (2-4 Unit),491 No. Main St,Randolph,MA,02368,529900,4,4.0,Randolph,2704,16319,1900,1,196,,Active,,,http://www.redfin.com/MA/Randolph/491-N-Main-St-02368/home/11731476,MLS PIN,72216409,Y,Y,42.1736591,-71.0475415
MLS Listing,,Multi-Family (2-4 Unit),40-42 elm,Easton,MA,02356,455000,3,1.5,Easton,1342,,1880,1,339,,Active,,,http://www.redfin.com/MA/Easton/42-Elm-St-02356/unit-40-42/home/140258040,MLS PIN,72216404,N,Y,42.0721257,-71.1025697
MLS Listing,,Multi-Family (2-4 Unit),38 Elm St,Easton,MA,02356,315000,4,3.0,Easton,2684,16308,1890,1,117,,Active,,,http://www.redfin.com/MA/Easton/38-Elm-St-02356/home/15995571,MLS PIN,72216399,N,Y,42.072325,-71.102941
MLS Listing,,Multi-Family (2-4 Unit),53-55 French Ave,Brockton,MA,02302,339000,3,,Brockton,3909,7318,1902,1,87,,Active,,,http://www.redfin.com/MA/Brockton/55-French-Ave-02301/home/143378987,MLS PIN,72216397,N,Y,42.0662052,-71.021134
MLS Listing,,Multi-Family (2-4 Unit),57 Walnut Park,Boston,MA,02119,878000,8,4.0,Roxbury,4770,10655,1890,1,184,,Active,,,http://www.redfin.com/MA/Boston/57-Walnut-Park-02119/home/9295843,MLS PIN,72216371,N,Y,42.3148783,-71.0957956
MLS Listing,,Multi-Family (2-4 Unit),7 Elbow St,Attleboro,MA,02703,249000,5,3.0,Attleboro,1795,6186,1910,1,139,,Active,,,http://www.redfin.com/MA/Attleboro/7-Elbow-St-02703/home/15973299,MLS PIN,72216348,Y,Y,41.9388341,-71.2825988
